2019-06-19 14:00:14,054 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@64b52799: startup date [Wed Jun 19 14:00:14 CDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2019-06-19 14:00:16,166 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 14:00:16,902 | INFO  | PListStore:[C:\Users\Kath\Desktop\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2019-06-19 14:00:17,101 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-50986-1560970816919-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 14:00:17,123 | INFO  | Listening for connections at: tcp://DESKTOP-3B2UMQI:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,127 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 14:00:17,134 | INFO  | Listening for connections at: amqp://DESKTOP-3B2UMQI:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,137 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 14:00:17,144 | INFO  | Listening for connections at: stomp://DESKTOP-3B2UMQI:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,153 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 14:00:17,159 | INFO  | Listening for connections at: mqtt://DESKTOP-3B2UMQI:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,163 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 14:00:17,172 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,268 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2019-06-19 14:00:17,413 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@69ddb563{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2019-06-19 14:00:17,513 | INFO  | Listening for connections at ws://DESKTOP-3B2UMQI:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2019-06-19 14:00:17,513 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2019-06-19 14:00:17,517 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:DESKTOP-3B2UMQI-50986-1560970816919-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 14:00:17,517 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2019-06-19 14:00:19,559 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | WrapperSimpleAppMain
2019-06-19 14:00:20,085 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 14:00:20,085 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2019-06-19 14:00:20,349 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2019-06-19 14:00:20,992 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | WrapperSimpleAppMain
2019-06-19 14:00:21,337 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | WrapperSimpleAppMain
2019-06-19 14:05:52,961 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:51022 failed: java.io.IOException: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:51022@61616
2019-06-19 14:06:26,322 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:51026 failed: java.io.IOException: Frame size of 1 GB larger than max allowed 100 MB | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:51026@61616
